eemaldatav,fraas,näitelause
Mullu,"Mullu kuulutas, Mullu tarnis","Mullu kuulutas ajakiri People ta lahutatud lapsevanemate kategoorias musterisaks ., Mullu tarnis Gazprom Ukraina kaudu Euroopasse 110 miljardit kuupmeetrit gaasi ."
vast,tal vast,On tal vast iseloom !
Võib-olla,Võib-olla on,"Võib-olla on otsus ärijuhtimist tudeerima asuda mu alateadlik soov taganemisteed kindlustada , ” arutleb Evelin ."
mitte,"et mitte, parteisse mitte, või mitte, teda mitte, , mitte, kuid mitte, aga mitte","Eemalolek suurtelt lavadelt on tema sõnul taotluslik , et mitte enne plaadi ilmumist kuulajaid eksitada ., Eesti Päevalehe artiklid Vene Ühtsuspartei nimekirjas olevatest , kuid sellesse parteisse mitte astunud eestlastest viisid keskkriminaalpolitsei süüdistuse esitamiseni partei juhatuse liikmele Eduard Sedaševile ., Raviasutuse nõukogule jääb võimalus kehtestada voodipäevatasu või mitte seda teha ., Kuid pärast esmaspäevast kohtumist Emsisega otsustas Uus Aeg teda mitte toetada ., 1. töö on parim kaitse vaesuse vastu - uus seadus motiveerib inimest töötama ja teenima töist tulu , mitte toetustest elama ., Organisatsiooni eksperdid nimetavad ajakirjanike mõrvamist "" äärmuslikuks , kuid mitte ainsaks tsensuuri meetodiks "" ., Sellest koorub välja mingi statistiline keskmine , aga mitte iga üksiku inimese hädad ."
kõige,", kõige, tegi kõige, oli kõige, kinnitusel kõige","Kadri oli perekonna hing , kõige parem sõber ja hea kuulaja ., John Hagelin ( Natural Law Party ) tegi kõige radikaalsema avalduse , väites , et "" meelelahutustööstus peaks tegema jõupingutusi selleks , leida uusi teid Napsterit ja sarnaste teenuste kasutamiseks "" maksa-iga-korra-eest "" "" ., Turniiri atraktiivseimaks mängijaks ning pealtvaatajate lemmikuks peeti Endla teatri näitlejat Sepo Seemani , kes arvas , et ta oli kõige nõmedam mängija ., Eesti taasisesisvumisel olid liidutehaste töölised Ilnitski kinnitusel kõige kaitsetumad ."
üksi,ta üksi,"” Jaan usub , et Kadrile poleks meeldinud , kui ta üksi jääks ."
Ei,"Ei ühele, Ei ,, Ei ,","Ei ühele ega teisele olnud laevahuku põhjus mingiks saladuseks ., Ei , sa nägid midagi enamat ., Ei , seinal on suitsetamist keelav silt ."
pigem,"läheb pigem, ring pigem","Aino Järvesoole saadetud kirjadest saaks vapustava raamatu fassaaditagusest Eestist , kus sirguv nooruk läheb pigem võõrleegioni kui Eesti sõjaväkke , sest tema meelest on riik , kus ta elab , võõras ja lastevaenulik ., Luige hinnangul laienemise esimene ring pigem rahustab kui ärritab Venemaad ."
nagu,", nagu, , nagu, Ela nagu, naerda nagu, hõrgutisi nagu","Kirjutajad loetlevad lausraiskamisi , nagu haridusministeeriumi Tartusse kolimine , poliitilised turismireisid , kallid autod , luksuslikud remondid jne ; poole miljoni krooni riigi rahaga Saaremaale rajatud golfiväljak , raudteenõustamise miljonid või Maapanga raha , mille kantisid endale need , kes vangimõistetud Eenmaale korraldusi jagasid ., Nii naiste kui meeste hulgas stardivad esikohapretendendid viitstardist , nagu esilagselt oligi planeeritud , kirjutab  ., Ela nagu sipelgas , tööta nagu sipelgas ., Orkester mürisenud naerda nagu rahvusmeeskoor ., Rindekohviku külalised saavad sõjaaegse muusika saatel ja vanaaegses õhustikus osta traditsioonilisi Soome hõrgutisi nagu pannkoogid moosi ja suhkruga , katlas keedetud kohv ja hernesupp ."
iseäranis,kes iseäranis,Ja kes iseäranis teenekad .
Ehk,Ehk mõtleb,Ehk mõtleb president Meri välja mõne uue auraha neile meestele medalina kaelas kandmiseks ?
ju,"Tuli ju, On ju, Kaob ju","Tuli ju selle loomiseks tappa kalu ., On ju senine praktika näidanud , et maavanem läheb poliitkaubaks hoolimata sellest , mida ütleb seadus ., Kaob ju pärast reformiprotsessi lõpulejõudmise ning omavalitsuste eeldatavat ühinemist maavalitsuste järele vajadus ."
hiljem,", hiljem","Jüri algul nõustus , hiljem aga mingil põhjusel keeldus ."
Kord,Kord tungis,"Kord tungis Ants isale kallale , ema Meeta ärritus , sai infarkti ja suri ."
Tänaseks,Tänaseks pole,"Tänaseks pole Kukkede perekonnast enam kedagi elus , viimasena suri 1990. aastate algul isa , kes pärast poja traagilist surma oli hakanud habet kasvatama ."
Nõnda,Nõnda ei,Nõnda ei valmistanud edasijõudmine talle erilisi raskusi .
laialt,novellistide laialt,"Toda novellistide laialt levinud lemmikvõtet , terviku peegeldumist detailis , kasutab Külvet erineva eduga pea kõikides lugudes ."
justnagu,", justnagu","Mõne aasta eest sai meie kirjanduskriitikas välja öeldud mõte , justnagu pärssinuks Stalini nime kohustuslik väljajätmine proosatekstidest kirjanduse arengut ."
ise,lähedane ise,Ülima täiuse ahelas on Eesti oludes üks nõrk lüli - surnuaeda platsi hankima või olemasolevale platsile uut hauda registreerima peab lahkunu lähedane ise minema .
kokku,"muusikuga kokku, , kokku","Ja kus on teie kõnemees , nad pole muusikuga kokku leppinud !, Kaarli kiriku juurde oli üles rivistatud rühmad kõigist kaitseliidu malevatest ning naiskodukaitse ja üliõpilaskorporatsiooni Rotalia rühm , kokku 17 rühma ja 18 liputoimkonda üle 500 inimese rivis ."
seal,"ta seal, just seal, ja seal","“ Ühel hetkel inimene vaatab seda urni , järgmisel on ta seal sees , ” filosofeerib Villand ., Viimasel kahekümnel kilomeetril on kaks tõusu , ajalugu näitab , et just seal pannakse paremusjärjestus paika . "", "" Poska ja Uus-Sadama tänava vahel olev teelõik on viletsas olukorras ja seal tuleb kolme nädalaga välja vahetada pool kilomeetrit trammiteed , kaasa arvatud keerukoht ole Narva maantee ."
kaugemal,kes kaugemal,"Kalmistutel pakutakse hooldamisteenust neile , kes kaugemal elavad või käsi määrida kardavad ."
Geograafiliselt,Geograafiliselt paiknesid,"Geograafiliselt paiknesid need kõikides Eesti linnades ja väikeasulates , mis muutis nad rahvalähedaseks ja usaldusväärseks ."
Kahjuks,Kahjuks ei,Kahjuks ei leia ühistegevus krediidiasutustes tänapäeval sellist kõlapinda kui eelmise sajandi algul .
Nüüd,"Nüüd on, Nüüd jääb, Nüüd on","Nüüd on 10 tegutsevat ühistulist finantsasutust hakanud koostööd tegema ja asutanud selleks katusorganisatsioonina Eesti Hoiu-laenuühistute Liidu ., Nüüd jääb äparduste korral aega kosumiseks . "", Nüüd on karistuse teada saanud klubidel kolm päeva selleks , et see edasi kaevata ."
alla,ta alla,"Nende keskmine kapitali adekvaatsus oli 62,5% , samal ajal kui kommertspankades on ta alla 20 protsendi ( minimaalne nõue 10% ) ."
Kas,"Kas see, Kas oleme","Kas see noormees , siseminister või parlament ., Kas oleme Jumala eksinud laps , kes otsib päästet , mis talle on tõotatud ?"
Samas,"Samas on, Samas ei, Samas on, Samas saab, Samas peaks, Samas on, Samas ei","Samas on ühiskonna valdav materialistlik suunitlus toonud kaasa süsteemikriitiliste indiviidide tekke , kollektiivsus naaseb killustatud indiviidide väärtuspõhise koondumisena ., Samas ei saa temalt juhtimisõigust ära võtta , kui ta ise oma juhiluba ei tagasta ., Samas on Utsari esilekerkimine süsteemiväline ., Samas saab peale liisinglepingu vaadata liisitud objekti ning sellega seotud kindlustuspoliisi andmeid ., Samas peaks iga arukas inimene mõistma , et parkimise eest maksmine on autostunud ühiskonnas normaalne ., Samas on sajad inimesed Hiinas pandud epideemia kartuses karantiini ., Samas ei avalikustanud Kask , kui suure miinusega ettevõtte iga kuu töötab ."
vähe,kõneldakse vähe,"Loodus on süsteemi piirialal , sellest kõneldakse vähe ; peamiseks kõneaineseks on keskkond ."
Tõepoolest,"Tõepoolest ,","Tõepoolest , valimised toimuvad Eestis iga nelja aasta tagant ja neist hoidumine tähendaks otsustamisõiguse andmist kellelegi teisele ."
Esialgu,Esialgu aitas,"Esialgu aitas eelmiste valimiste järel reformijate ülekaalu tasandada üksikkandidaadina volikokku tulnud volikogu esimees Ülo Uluots , kuid pärast tema surma kaks aastat tagasi , on ohjad ühe poliitilise jõu käes ."
tugevamalt,senisest tugevamalt,Näiteks möödunud aastal toimunud Daimler/Chrysleri liidu puhul paraneb Chrysleri juurdepääs Euroopa turule ning Daimler-Benz saab kinnitada senisest tugevamalt kanda USA-s .
hästi,Strasboug'is hästi,Riigikogu Euroopa Nõukogu Parlamentaarse Assamblee ( ENPA ) delegatsiooni liikmete hinnangul mõjus nende tähelepanu keskmes olek möödunud nädalal Strasboug'is hästi Eesti mainele .
ka,", ka, , ka","Osa neist kannab mõne teise loomaliigi , ka inimese geeni ., Ta ei pea end eurovisioonifänniks , ka ei tõmba teda vabatahtlikuks võimalus näha Malta lauljat või kohvi joovat Tanel Padarit ."
Seetõttu,Seetõttu peab,"Seetõttu peab neid uurima elusolendites , "" selgitab Karis ."
ometi,", ometi",""" Teda ei uskunud keegi , ometi osutusid kuulsa keskmängija sõnad tõeks ."
teisiti,saagi teisiti,"Ent mehed ei saagi teisiti , sest nad teavad : Ewingule tuleb hankida meistrisõrmus ."
Kõigepealt,Kõigepealt peaks,Kõigepealt peaks riik lõpetama elamureformi ning kiirendama korteriomandite seadmist ning seadusega reguleerima pikaajaliste kinnisvaratagatisega laenude andmise .
Seal,""" Seal",""" Seal oli kombineeritud institutsionaalse mälu sära ja kirglik tõlgendamisoskus , "" kirjutas ta ."
Hiljem,"Hiljem õppis, Hiljem kirjutas, Hiljem lülitati","Hiljem õppis Ane majandustehnikumis ja pedagoogikaülikoolis ., Hiljem kirjutas ta kolm erinevat seletuskirja ., Hiljem lülitati ehitis kaitstavate mälestiste nimistusse ."
selliselt,juhtimist selliselt,"LISCO erastamisleping annab ostjale õiguse kohustusi eirata , kui need takistavad nõukogul ja juhtkonnal ettevõtte juhtimist selliselt , nagu nad seda õigeks peavad , kirjutas Verslo zinios ."
seega,ja seega,Püha kuulub Jumalale ja seega võib Jumala pühadus peegelduda igast inimesest .
keskpaiku,jaanuari keskpaiku,"Tema sõnul on Vene üksused tõrjutud paljudel suundadel tagasi lähtepositsioonidele , kust nad jaanuari keskpaiku alustasid tormijooksu Groznõile ."
Täna,"Täna toimus, Täna esitab","Täna toimus Vabariigi Valitsus , Eesti Ametiühingute Keskliidu ning Eesti Tööandjate ja Tööstuse Keskliidu vahel järjekordne läbirääkimiste voor ., Täna esitab Lambin soomlasele Vesa Surenkinile kutse tulla turniirile Eesti meeskonda juhendama ."
seetõttu,"vaja seetõttu, ning seetõttu","Luba on vaja seetõttu , et Kohli kui Riigi-päeva liiget kaitseb saadikupuutumatus ., Tema sõnul reklaamiseadus sponsorlusele mingeid piiranguid ei sea ning seetõttu on esimese astme kohtus telekanalile määratud rahatrahv põhjendamatu ."
Pehmelt,Pehmelt öeldes,"Pehmelt öeldes . """
Õigupoolest,"Õigupoolest ,","Õigupoolest , kahe allpoolse Balti riigiga on asi korras ."
Mitte,Mitte päris,Mitte päris .
sealhulgas,", sealhulgas, , sealhulgas","Perekonnadraama "" American Beauty "" ( "" Tabamata ilu "" ) on esitatud sel aastal kaheksale Oscarile , sealhulgas parima filmi kategoorias ., "" Terve rea asjaolude tõttu , sealhulgas otseste , ma ütleksin , poliitiliste keeldude tõttu , ei toimu sel aastal Tallinnas pidu Vivat Rossija , millega me Tallinnas viimaste aastate jooksul harjunud oleme , "" sõnas Uspenski ."
nüüd,"Kuid nüüd, , nüüd","Kuid nüüd on ajad teised ja oleks absurdne võrrelda esinduslikke tarkvarafirmasid ja küüditamist ., Kaks aastat tagasi maksis kinnistu 1 135 000 krooni , millest 11 350 tasuti erastamisväärtpaberites , nüüd hindab kinnisvarabüroo LVM kinnistu mitteametlikuks ligikaudseks maksumuseks kolm miljonit krooni ."
Homme,"Homme müüvad, Homme on","Homme müüvad oma raamatuid kirjastused "" Eesti Raamat "" ja "" Kunst "" , kolmapäeval "" Eesti Entsüklopeediakirjastus "" , neljapäeval "" TEA "" ja reedel "" Varrak "" ., Homme on Eesti Draamateatri suur saal laste päralt , kell 16 esietendub David Woodi lastenäidend "" Kiigepuu "" ."
niipalju,tuge niipalju,""" Uisuliidult sain tuge niipalju , et võisin kevadel käimata jäänud Rootsi-laagrile määratud 10 000 krooni eest sõidupiletid osta , "" ütles Hernits ."
nii,"seda nii, - nii, Miks nii, ) nii, läks nii","Ma ei näe seda nii , nagu oleksin Tartust ära tulnud ., Palvuste ajaks tõsteti kaks kirjutuslauda üksteise peale - nii saadi ruumi , "" rääkis tuntud näitleja ja Tallinna linnavolikogu liige Ahmetov ., Miks nii tõsine ?, "" Kahju , et Veeral ( Baranova - toim ) nii läks ., Asi läks nii hulluks , et pidin närviparanduskeskuses paariks nädalaks aja maha võtma ."
ilma,munitsipaalsaunast ilma,Tallinn munitsipaalsaunast ilma .
pooleks,lips pooleks,"Tavaks on , et kõigil lipsumeestel lõigatakse pärast kella kuut õhtul lips pooleks ."
Muide,"Muide ,","Muide , ansambli järgmisel aastal ilmuval plaadil on üks lugu pühendatud Bikersi pubile"
kas,", kas, , kas, , kas, , kas, - kas","Ajakirjanike küsimusele , kas ta arvab , et suudab rahakogumisega korvata annetuste vastuvõtmisest parteile tekitatud kahju , vastas Kohl : "" Partei on olnud minu kodu "" ., Huvitav , kas keegi neist otsustajatest on Streimanni kriminaalasja toimikuga tutvunud ., Null-tulumaksumäära puhul tuleb küsida , kas see on meie ettevõtete huvides ., "" Eestis on kaitsetollidest maalitud tont , kelle ümber tantsitakse , teadmata , kas tegemist ongi tondiga . "", Inimesed ei mõista altmineku põhjuseid ning hakkavad arutlema - kas Pertelsoni vaevab mingi kompleks ? """
Esmakordselt,Esmakordselt on,"Esmakordselt on messil kaitsejõudude peastaap , Rocca al Mare kool ja riigikogu ."
Kokku,"Kokku müüs, Kokku läbib","Kokku müüs riigikantselei oksjonil üheteistkümnest müüki pandud autost kümme ., Kokku läbib tõrvik teekonnal olümpiastaadionile 137 000 kilomeetrit ."
enne,"teada enne, põgeneda enne",""" See võis olla üks põhjusi , miks uppus kalalaev Katrin , kuid täpset põhjust ei saa teada enne , kui uurimine selle välja selgitab . "", Rüütlil õnnestus põgeneda enne , kui politseipatrull sündmuskohale jõudis ."
Ka,""" Ka",""" Ka on viimasel ajal mitmed laevad Hiiumaa ja Saaremaa lähedal puulasti merre kaotanud . """
Väidetavalt,Väidetavalt maksis,Väidetavalt maksis Liibüa iga pantvangi eest miljon dollarit lunaraha .
Enam,Enam kui,"Enam kui praktilist toimetajatööd nõuab see amet head tegevjuhti , tuntud nägu ja oskust avalikkusega suhelda ."
kõrgele,Tänu kõrgele,""" Tänu kõrgele kohale edetabelis ma töötu seisust ei peljanud , "" ütleb rattur ."
süüdi,"rüüstamises süüdi, ennast süüdi","Tartu Ehitus- ja Kergetööstuskool kaalub kahe oma õpilase väljaheitmist , kui kohus nad Tartu Pauluse kalmistu sadakonna haua rüüstamises süüdi mõistab , kirjutab tänane Postimees ., Sedašev ennast süüdi ei tunnistanud , vaid nentis , et ta ei kontrollinud andmete õigsust ."
Väidetavasti,Väidetavasti teenis,Väidetavasti teenis fond suure osa oma varasemate aastate kasumist intressivahede vähenemise pealt .
vastaselt,soovi vastaselt,Relvajõududel ei tohi olla võimalust kulutada raha täitevvõimu teadmata või tema soovi vastaselt .
Samuti,"Samuti on, Samuti puuduvad","Samuti on valitsus sõnades seadnud prioriteediks Eesti igakülgse ettevalmistamise EL-i täisliikmeks saamiseks ., Samuti puuduvad Luigel võlad pankadele , eraisikutele ning liisingud ja hüpoteegid ."
Ega,""" Ega",""" Ega selliste pisiasjade pärast hakka keegi politseid tülitama . """
Siis,"Siis hakkavad, Siis saaksid, Siis kandis, Siis peaks, Siis möödus, Siis on","Siis hakkavad inimesed Suletud Ruumist välja tulema ., Siis saaksid uusi laudu-toole ja riiuleid Sõle gümnaasium , Vanalinna hariduskolleegium , Hiiu põhikool ja Kadrioru saksa gümnaasium ., Siis kandis praegune Peterburi tee Suur-Raevalla tänava nime , "" selgitas Nerman ., Siis peaks sellest saama linna suurim venekeelse kirjanduse kauplus ., Siis möödus meist sõiduauto Ford Probe ., Siis on võimalik teksti suvepuhkuse järel lihvida , "" lausus Adams , kes loodab , et seadus võetakse sel aastal vastu ."
keskmiselt,pole keskmiselt,Peetsi sõnul pole keskmiselt võttes palgad üle mõistuse suured .
kuhugi,tal kuhugi,"Riided ei kõlvanud tal kuhugi . """
eile,nimetas eile,"Vabariigi President Arnold Rüütel nimetas eile , 13. juunil uueks Kaitsejõudude Peastaabi ülemaks kolonel Alar Lanemani ."
pärast,Streimannilt pärast,"Katrin , mida te Streimannilt pärast 7,5 aasta möödumist avariist ootate ?"
praegu,"ja praegu, kuna praegu, , praegu",""" Olen seda teemat mõnes väljaandes kommenteerinud ja praegu pole mul midagi uut lisada , "" ütles Kaal ., Venemaa valitsus otsustas välja vahetada valdava enamuse Venemaa koolide arvutites kasutatavatest arvutiprogrammidest ja operatsioonisüsteemidest , kuna praegu on need 90 protsendi ulatuses varastatud ., Ehitama hakkame suve lõpus või sügise alguses , praegu käivad ettevalmistustööd , ütles Merko elamuehitusdivisjoni direktor Tiit Kuusik ."
näiteks,", näiteks","Mõnedest asjadest on nende käe all saanud kunstitaiesed , näiteks neoonvärvilise karvaga tumbad , mida vaadates on raske arvata , et need kunagi midagi muud on olnud ."
EAL,EAL saatis,"EAL saatis 7. novembril haridusministrile , sotsiaalministrile ning riigikogu rahandus- , sotsiaal- ja kultuurikomisjonile kirja , milles juhtis tähelepanu tõigale , et hoolimata arstide koolituse programmi muutusest järgmisel aastal on riigieelarve projektis residentuurikulud võrreldes eelmise aastaga sama suured ."
Seejärel,"Seejärel palutakse, Seejärel kannavad, Seejärel lindistab, Seejärel töötas","Seejärel palutakse leinajad kaubanduskeskuse paigale ., Seejärel kannavad jooksjad eri riikidest tõrvikut olümpialinna ., Seejärel lindistab Kaljuste koor Londonis Pärdi uue plaadi ., Seejärel töötas ta Rannu ja Elva , 1979. aastast Tartu Pauluse koguduse õpetajana ."
paremini,elasid paremini,"N Liidus olid eestlased need , kes elasid paremini tänu oma töökultuurile ja traditsioonidele ."
Tahes,Tahes tahtmata,"Tahes tahtmata tuleb sel puhul küsida , milline on meie kultuuripoliitika rahapaigutamise efektiivsus ?"
siis,", siis, ning siis, , siis","Sportlase sõnul oleks ta rahul , kui suudaks Salt Lake Citys korrata Nagano esitust , siis oli Eesti parim iluuisutaja 20., Korduva rikkumise korral on sanktsioonid karmimad ning siis võib kohus rikkujat karistada kuni 100., "" Kui maanteesildu on Eestis 800 , siis rippsildu võib näppudel üles lugeda , "" rääkis Kirotam ."
tulemuslikult,Ehlvest tulemuslikult,""" Kui maleliit katab suurmeistril kõik turniiriga seotud kulud , maletab Ehlvest tulemuslikult ja teda saadab edu ."
seadusevastaselt,vaidlustas seadusevastaselt,"Eesti Televisioon vaidlustas seadusevastaselt näidatud Saaremaa viina reklaami eest saadud 80 000kroonise rahatrahvi Tallinna ringkonnakohtus , kuna telekanal on seisukohal , et nemad pole seadust rikkunud ."
õigesti,Ja õigesti,"Ja õigesti räägivad , äratuntavad asjad on kunstis pikka aega unustuses olnud ."
all-,ja all-,Kella 12 -14 toimuvad ekskursioonid Toompeale ja all- linna .
Esiteks,""" Esiteks",""" Esiteks , mul on möödunudaastane litsents ."
Sageli,Sageli on,"Sageli on postkastid katkised , pole lukustatavad ning neil puudub omaniku nimi või aadress ."
sageli,sest sageli,"Kirjakandjale peab olema tagatud juurdepääs postkastile , sest sageli peab töötaja kulutama aega , et kirjakastini jõuda ."
Üksinda,Üksinda jäetud,"Üksinda jäetud tüdruku leidis mägede patrull , kelle ekipaaž sidus tüdruku katki hõõrdunud jalad , andis süüa ja leidis ööbimiskoha lähimas külas ."
ette,takti ette,"Esimene "" Kaks takti ette "" oli eetris 1972. aastal ."
eriti,", eriti","Siseministeeriumi kinnitusel tegeleb ebaseadusliku relvaäriga suur hulk inimesi , eriti aga nn rahvavabastusarmee võitlejad ."
Ausalt,""" Ausalt",""" Ausalt öelda ma teist sellist korda hetkel meenutada ei suudagi ."
Teisiti,Teisiti ei,"Teisiti ei saa tööd teha , see peab meeldima ."
mistõttu,", mistõttu","Euroopa Komisjonile valmistavad muret rahvastiku vananemine ning madal sündimus , mistõttu kutsutakse riike rohujuure tasandil probleemiga tegelema ."
Seni,Seni ei,"Seni ei ole maksuhaldur kõnealuseid tehinguid maksustanud , kuid vajadusel kaalub seadusest tuleneva õiguse kasutamist ."
Üleeile,Üleeile esines,Üleeile esines ÜRO-s kõnega USA president George W. Bush .
samamoodi,", samamoodi","Juhtkonstaabel Margus Trees ütles , et kevadest on kokkulepe abipolitseinikest kaitseliitlastega , kes hakkavad jalgratastega patrullimas käima , samamoodi läheb kevadest käima motorolleripatrull ."
tagasi,hetk tagasi,"Esmaspäeval kell 16.47 helistas Falcki juhtimiskeskusse mees , kes ütles , et hetk tagasi olid taskuvargad üritanud Harju tänaval tema emalt näpata rahakotti , teatas Falcki pressiesindaja ."
sinna,", sinna, et sinna","Kuhu nemad oma suurtükkidega ees , sinna meie soldatid püssidega järele !, Alarm hakkas tööle hoone pööningul , kuid analüüsid näitasid , et sinna sattunud aur on ohutu ega ole närvigaas , teatas politsei ."
Praegu,""" Praegu, Praegu käib, Praegu aitab",""" Praegu on liisijatel hirm ning lepingud vormistatakse ümber , "" tõdes Nissan Nordic Europe'i Balti osakonna juht Margus Mikk ., Praegu käib ta korra nädalas arsti juures kontrollis ., Praegu aitab pensionipõlve pidav odameister vahel vasaraheitjat Terje Matsikut ."
vähem,osta vähem,Või-malus sel juhul end lunastada on osta vähem reostavatelt riikidelt nende ärakasutamata saastekvoote .
Kolmekesi,Kolmekesi -,Kolmekesi - Ree püsis kaaslaste tuules - tööd rügades tehti peagrupiga ees mõne kilomeetriga turvaline vahe sisse .
Öösel,Öösel seisab,Öösel seisab väikese baari ukse ees mees .
allpool,poolest allpool,Eesti naiskonna parimad on edetabelikoha poolest allpool : Kaia Kanepi 121. ja Maret Ani 131. kohal .
Tänavu,Tänavu on,Tänavu on Pirita randa paigaldatud 37 riietuskabiini - 18 kabiini rohkem kui möödnud aastal .
Äkki,Äkki on,"Äkki on parem minna Iirimaa teed , kus on ühtne väheste eranditega ettevõtete tulumaksumäär soodsal 12,5 protsendi tasemel ?"
võib-olla,", võib-olla","Uut maksustrateegiat hakkame sügisest välja töötama , võib-olla on järgmiseks sügiseks meil konkreetne positsioon olemas ."
päris,", päris","Aga millised on tänased jõulukombed helilooja Raimo Kangro , kirjanik Leelo Tungla ja nende kolmelapselises peres , päris lõunalekutsuja edasi ."
kohe,Ja kohe,""" Ja kohe laskis saatejuht eestikeelse laulu täies pikkuses inglisekeelsele otsa ."
aeg-ajalt,", aeg-ajalt","Poolas sain tugeva õlatrauma , aeg-ajalt andis tunda mullune seljavigastus . """
vaid,""" vaid","Ent vähk pole vältimatu - see areneb "" vaid "" 14 protsendil suitsetajatel ."
Seega,"Seega ei, Seega tuli","Seega ei ole lotomiljonäridel uut lehte mõtet osta ., Seega tuli kohtul Hansar selles osas õigeks mõista , sest üks fotografeeritutest oli 14- ja teine 16-aastane ."
Sagedamini,: Sagedamini,TT : Sagedamini on rööve olnud Astangu-Järveotsa vahelisel tühermaal .
seepärast,ja seepärast,"Ta oli austatud kogu Euroopas ja seepärast annan suure kurbusega edasi oma kaastunde . """
Ühtlasi,Ühtlasi annab,Ühtlasi annab ta sellega selge signaali üleolevast suhtumisest ajakirjandusse .
paremalt,teed paremalt,Mootorratas ei andnud teed paremalt tulnud sõiduautole .
Peamiselt,Peamiselt turustatakse,"Peamiselt turustatakse Daisy kaubamärgiga pehmepaberi tooteid Eesti , Läti , Leedu ja Skandinaavia turul ."
sealt,ja sealt,Esimesed pildigaleriid tekkisid renessansiajastul ja sealt alguse saanud maalide eksponeerimise komme jäi püsima sajanditeks .
sellepärast,Pärnus sellepärast,"Alustasin oma garaažigaleriiga Pärnus sellepärast , et tahtsin näituseid teha ."
alati,Kuid alati,Kuid alati ei tähenda parteide liitumine poliitikas tehet 1 + 1 = 2.
alles,järel alles,"1920. aastate parteide ( üle ) küllusest ( 10-14 parteid riigikogus ) jäi 1932. aastaks ühinemislaine järel alles kolm suurt ( sotsialistid , Rahvuslik Keskerakond ja põllumehed koos asunikega ) ning kolm marginaalset parteid ."
vastupidiselt,hääletas vastupidiselt,"Ettepaneku selleks tegi erakonna piirkonnajuhatus , põhjuseks Kristiine halduskogu esimehe valimised eelmise aasta novembris , kui Korp hääletas vastupidiselt erakonna otsusele halduskogu esimehe valimisel keskerakondlase Natalja Vaino poolt ."
isegi,", isegi","Vaatamata mehe priskele ja hoolitsetud , isegi heatahtlikule välimusele seostatakse Mogilevitšit Vene ajakirjanduses mitme palgamõrva tellimisega ."
fiktiivselt,matus fiktiivselt,"Et nende haudu ei leitud , toimus matus fiktiivselt ."
Kindlasti,Kindlasti toetavad,"Kindlasti toetavad viimaseid literaadid ja Tõnu Ehasalu , kes eilses Postimehes arvab , et just nemad asendavad Eestis puuduvat kunstiteooriat ."
vähemalt,kasvatab vähemalt,"Nooreks pereks loetakse perekonda või üksikvanemat , kes kasvatab vähemalt ühte alla 16-aastast last ."
otsustavalt,ja otsustavalt,"Viimased arvamusküsitlused annavad alust arvata , et NATO-ga liitumist pooldab 57 protsenti valijaist ja otsustavalt on selle vastu 23 protsenti ."
Sealt,Sealt Sellis,Sealt Sellis mune hauduva linnu avastaski .
Mäletatavasti,Mäletatavasti on,Mäletatavasti on Türgi mitmel korral viinud oma väed karistusoperatsioonideks üle Iraagi piiri .
rohkem,laulmisest rohkem,"Kui Konstantin oli noorem , meeldis talle laulmisest rohkem viiulit mängida ."
küll,teate küll,"Siinne jaanuaripimedus , teate küll - kui veerand kolm päeval pimedaks läheb , on ängistav . """
Küll,Küll teeb,Küll teeb seda mu meelest Tagore oma ammuste tekstidega .
Tavakohaselt,Tavakohaselt küsib,Tavakohaselt küsib STV selle töö eest 492 krooni .
Lossis,Lossis tundub,Lossis tundub ilu loomulik .
ehk,MMil ehk,""" Kui me üle-eelmise aasta sügisel naiskonnaga MMil ehk olümpiakatsevõistlusel 9. koha saime , kanti meid hetkega maha - ei raha , ei võistlusi ."
võlgu,Hansapangale võlgu,"Majanduslike huvide deklaratsiooni andmetel on president Lennart Meri Hansapangale võlgu 1 022 402 krooni , valitsuse liikmetest on suurim võlg peaminister Mart Laaril , kes on Hansapangast laenanud 1 035 150 krooni ."
varem,on varem,""" Praegusajal on varem rajatud maaparandussüsteemidele suurt kahju teinud paljude maade peremehetus ."
Nimelt,Nimelt kasseeris,"Nimelt kasseeris Hugh Rodham 400 000 dollarit selle eest , et ta suutis Bill Clintonilt välja rääkida armuandmise kahele süüdimõistetud kurjategijale ."
üle,protsent üle,"üheksa protsenti elanikest kulutab kuus kuni 4000 krooni , 1,5 protsenti kuni 8000 ning üks protsent üle 8000 krooni ."
Varem,Varem pole,Varem pole ta vabatahtlik olnud .
pealegi,", pealegi","Sealne kogemus on mul meeles , pealegi ei meeldi mulle suhtumine , et kui midagi palutakse teha , siis küsitakse , mis ma selle eest saan , "" leiab Kirso ."
üldse,", üldse","Ellujäänud karupoeg on emane , üldse oli pesakonnas kaks emast ja üks isane karupoeg ."
vaevalt,aga vaevalt,"Igalt poolt öeldi Vehmile , et asja uuritakse , aga vaevalt küll , et keegi lubab ennast filmida ."
